date,noise_complaints,other_complaints,total
2011-11-04,509,6171,6680
2011-11-05,704,3610,4314
2011-11-06,748,2742,3490
2011-11-07,391,5585,5976
2011-11-08,517,4554,5071
2011-11-09,526,5081,5607
2011-11-10,467,4883,5350
2011-11-11,497,4624,5121
2011-11-12,771,3390,4161
2011-11-13,817,2462,3279
2011-11-14,483,5801,6284
2011-11-15,550,5089,5639
2011-11-16,503,5431,5934
2011-11-17,423,6204,6627
2011-11-18,521,6391,6912
2011-11-19,801,3454,4255
2011-11-20,820,2252,3072
2011-11-21,411,6300,6711
2011-11-22,352,6096,6448
2011-11-23,376,5197,5573
2011-11-24,674,2158,2832
2011-11-25,690,3509,4199
2011-11-26,784,2374,3158
2011-11-27,718,2093,2811
2011-11-28,452,5358,5810
2011-11-29,428,5093,5521
2011-11-30,407,6303,6710
2011-12-01,478,6462,6940
2011-12-02,478,5706,6184
2011-12-03,791,3386,4177
2011-12-04,775,2264,3039
2011-12-05,510,5688,6198
2011-12-06,404,5582,5986
2011-12-07,467,5587,6054
2011-12-08,394,6999,7393
2011-12-09,541,5745,6286
2011-12-10,848,3220,4068
2011-12-11,792,3316,4108
2011-12-12,472,6652,7124
2011-12-13,289,6276,6565
2011-12-14,391,5387,5778
2011-12-15,462,5271,5733
2011-12-16,567,4899,5466
2011-12-17,768,3054,3822
2011-12-18,668,3564,4232
2011-12-19,381,6448,6829
2011-12-20,444,5362,5806
2011-12-21,394,4762,5156
2011-12-22,465,4489,4954
2011-12-23,463,3781,4244
2011-12-24,627,2378,3005
2011-12-25,730,1559,2289
2011-12-26,429,2966,3395
2011-12-27,356,5322,5678
2011-12-28,405,5944,6349
2011-12-29,503,6456,6959
2011-12-30,577,4006,4583
2011-12-31,703,1843,2546
2012-01-01,801,1625,2426
2012-01-02,452,3270,3722
2012-01-03,356,7518,7874
2012-01-04,324,9539,9863
2012-01-05,343,6790,7133
2012-01-06,456,5464,5920
2012-01-07,766,2342,3108
2012-01-08,667,2293,2960
2012-01-09,425,6038,6463
2012-01-10,407,5584,5991
2012-01-11,403,5207,5610
2012-01-12,420,5157,5577
2012-01-13,471,5468,5939
2012-01-14,714,3720,4434
2012-01-15,692,3753,4445
2012-01-16,433,5335,5768
2012-01-17,380,6040,6420
2012-01-18,395,6083,6478
2012-01-19,397,6388,6785
2012-01-20,515,5453,5968
2012-01-21,698,3585,4283
2012-01-22,699,3340,4039
2012-01-23,419,5793,6212
2012-01-24,464,5223,5687
2012-01-25,483,5102,5585
2012-01-26,301,5151,5452
2012-01-27,615,4706,5321
2012-01-28,788,2677,3465
2012-01-29,698,2461,3159
2012-01-30,359,5634,5993
2012-01-31,406,5396,5802
2012-02-01,417,5211,5628
2012-02-02,407,5684,6091
2012-02-03,539,5028,5567
2012-02-04,740,2560,3300
2012-02-05,772,2149,2921
2012-02-06,373,5210,5583
2012-02-07,372,5301,5673
2012-02-08,441,5674,6115
2012-02-09,376,5043,5419
2012-02-10,450,4503,4953
2012-02-11,787,2588,3375
2012-02-12,657,3013,3670
2012-02-13,354,5848,6202
2012-02-14,424,4690,5114
2012-02-15,428,4919,5347
2012-02-16,414,4751,5165
2012-02-17,508,4377,4885
2012-02-18,805,2042,2847
2012-02-19,797,1999,2796
2012-02-20,512,2951,3463
2012-02-21,479,5197,5676
2012-02-22,486,4617,5103
2012-02-23,502,4540,5042
2012-02-24,469,4464,4933
2012-02-25,678,2725,3403
2012-02-26,720,2508,3228
2012-02-27,393,4926,5319
2012-02-28,443,4767,5210
2012-02-29,378,4884,5262
2012-03-01,407,4934,5341
2012-03-02,502,4424,4926
2012-03-03,720,2169,2889
2012-03-04,773,2202,2975
2012-03-05,415,5735,6150
2012-03-06,447,5519,5966
2012-03-07,461,4950,5411
2012-03-08,589,4626,5215
2012-03-09,558,4489,5047
2012-03-10,771,2495,3266
2012-03-11,787,1965,2752
2012-03-12,555,4729,5284
2012-03-13,567,4832,5399
2012-03-14,653,5009,5662
2012-03-15,514,4839,5353
2012-03-16,554,4262,4816
2012-03-17,876,2203,3079
2012-03-18,881,1949,2830
2012-03-19,569,4698,5267
2012-03-20,480,4720,5200
2012-03-21,687,5005,5692
2012-03-22,661,4546,5207
2012-03-23,709,4182,4891
2012-03-24,975,1998,2973
2012-03-25,828,2146,2974
2012-03-26,427,5726,6153
2012-03-27,412,5610,6022
2012-03-28,518,4624,5142
2012-03-29,498,4889,5387
2012-03-30,536,4176,4712
2012-03-31,785,2529,3314
2012-04-01,856,2102,2958
2012-04-02,386,4910,5296
2012-04-03,533,4710,5243
2012-04-04,491,4354,4845
2012-04-05,347,4362,4709
2012-04-06,580,3477,4057
2012-04-07,812,2030,2842
2012-04-08,863,1482,2345
2012-04-09,488,4882,5370
2012-04-10,504,4482,4986
2012-04-11,506,4379,4885
2012-04-12,511,4196,4707
2012-04-13,708,3735,4443
2012-04-14,1026,1866,2892
2012-04-15,1188,1615,2803
2012-04-16,790,4950,5740
2012-04-17,633,4484,5117
2012-04-18,476,4644,5120
2012-04-19,550,4433,4983
2012-04-20,686,3971,4657
2012-04-21,1013,1919,2932
2012-04-22,697,1994,2691
2012-04-23,367,5432,5799
2012-04-24,477,5302,5779
2012-04-25,516,4963,5479
2012-04-26,510,4723,5233
2012-04-27,494,4541,5035
2012-04-28,893,2520,3413
2012-04-29,927,1537,2464
2012-04-30,438,4849,5287
2012-05-01,524,4759,5283
2012-05-02,442,4593,5035
2012-05-03,478,4435,4913
2012-05-04,660,4359,5019
2012-05-05,1015,1597,2612
2012-05-06,1040,1639,2679
2012-05-07,558,4705,5263
2012-05-08,462,4539,5001
2012-05-09,494,4782,5276
2012-05-10,528,4398,4926
2012-05-11,689,4003,4692
2012-05-12,1064,1844,2908
2012-05-13,1331,1366,2697
2012-05-14,597,4687,5284
2012-05-15,476,4305,4781
2012-05-16,597,4971,5568
2012-05-17,531,4464,4995
2012-05-18,937,4122,5059
2012-05-19,1129,1967,3096
2012-05-20,1187,1687,2874
2012-05-21,458,5143,5601
2012-05-22,470,5107,5577
2012-05-23,634,5026,5660
2012-05-24,513,4658,5171
2012-05-25,785,4111,4896
2012-05-26,1108,1833,2941
2012-05-27,1343,1508,2851
2012-05-28,1421,2191,3612
2012-05-29,500,5892,6392
