date,avg_temp,daylight_hours,bad_weather,hours_overcast
2010-06-27,81,1505,1,0
2010-06-28,84,1504,1,2
2010-06-29,80,1504,0,5
2010-06-30,70,1503,0,0
2010-07-01,70,1503,0,3
2010-07-02,72,1502,0,1
2010-07-03,77,1502,0,0
2010-07-04,84,1501,0,0
2010-07-05,88,1500,0,0
2010-07-06,92,1499,0,2
2010-07-07,90,1499,0,2
2010-07-08,83,1497,1,7
2010-07-09,82,1496,1,5
2010-07-10,78,1496,0,3
2010-07-11,82,1494,1,1
2010-07-12,84,1493,0,1
2010-07-13,78,1491,1,22
2010-07-14,76,1491,1,45
2010-07-15,80,1489,1,13
2010-07-16,84,1488,1,8
2010-07-17,85,1486,0,0
2010-07-18,86,1484,0,0
2010-07-19,82,1484,1,3
2010-07-20,82,1482,0,0
2010-07-21,84,1480,0,2
2010-07-22,82,1478,0,0
2010-07-23,80,1476,1,3
2010-07-24,88,1475,0,1
2010-07-25,82,1473,1,6
2010-07-26,78,1472,0,0
2010-07-27,80,1470,0,0
2010-07-28,82,1468,0,2
2010-07-29,82,1466,1,3
2010-07-30,76,1464,0,2
2010-07-31,76,1462,0,1
2010-08-01,75,1460,0,5
2010-08-02,77,1458,1,2
2010-08-03,79,1455,0,8
2010-08-04,83,1453,1,3
2010-08-05,86,1451,1,1
2010-08-06,80,1449,1,2
2010-08-07,78,1447,1,4
2010-08-08,81,1445,0,10
2010-08-09,84,1402,1,0
2010-08-10,85,1400,1,2
2010-08-11,84,1398,1,2
2010-08-12,72,1355,1,17
2010-08-13,75,1353,0,11
2010-08-14,74,1351,1,0
2010-08-15,72,1348,1,24
2010-08-16,78,1346,1,17
2010-08-17,82,1343,1,0
2010-08-18,79,1341,1,0
2010-08-19,80,1339,1,1
2010-08-20,82,1336,1,0
2010-08-21,76,1334,1,2
2010-08-22,74,1331,1,70
2010-08-23,68,1329,1,56
2010-08-24,67,1326,1,28
2010-08-25,66,1324,1,51
2010-08-26,74,1321,0,3
2010-08-27,70,1319,1,0
2010-08-28,72,1316,0,0
2010-08-29,80,1313,1,0
2010-08-30,82,1311,1,0
2010-08-31,86,1308,1,0
2010-09-01,86,1306,1,0
2010-09-02,86,1304,1,0
2010-09-03,80,1301,1,3
2010-09-04,72,1299,1,3
2010-09-05,70,1296,0,0
2010-09-06,70,1293,0,0
2010-09-07,78,1291,0,0
2010-09-08,78,1288,1,0
2010-09-09,66,1285,0,9
2010-09-10,68,1283,1,9
2010-09-11,69,1280,0,1
2010-09-12,63,1277,1,31
2010-09-13,68,1275,1,27
2010-09-14,68,1272,1,1
2010-09-15,64,1269,0,0
2010-09-16,64,1267,1,25
2010-09-17,65,1264,1,27
2010-09-18,64,1261,1,21
2010-09-19,71,1219,1,6
2010-09-20,66,1216,1,0
2010-09-21,64,1213,0,0
2010-09-22,76,1210,1,2
2010-09-23,74,1208,1,2
2010-09-24,76,1205,1,5
2010-09-25,78,1202,1,2
2010-09-26,68,1200,1,5
2010-09-27,66,1197,1,56
2010-09-28,72,1194,1,32
2010-09-29,70,1192,1,7
2010-09-30,72,1189,1,45
2010-10-01,66,1186,1,57
2010-10-02,59,1184,0,0
2010-10-03,57,1181,1,9
2010-10-04,54,1178,1,47
2010-10-05,57,1176,1,27
2010-10-06,59,1173,1,17
2010-10-07,62,1170,0,4
2010-10-08,64,1168,0,0
2010-10-09,63,1125,0,0
2010-10-10,58,1123,0,0
2010-10-11,66,1119,1,15
2010-10-12,62,1117,1,22
2010-10-13,56,1114,0,0
2010-10-14,56,1111,1,28
2010-10-15,53,1109,1,36
2010-10-16,54,1106,0,6
2010-10-17,58,1104,0,1
2010-10-18,55,1101,0,6
2010-10-19,53,1099,1,14
2010-10-20,53,1096,1,0
2010-10-21,56,1094,1,6
2010-10-22,50,1091,0,9
2010-10-23,54,1088,0,9
2010-10-24,60,1086,1,3
2010-10-25,64,1083,1,6
2010-10-26,68,1081,1,19
2010-10-27,70,1039,1,40
2010-10-28,65,1036,1,11
2010-10-29,52,1033,0,9
2010-10-30,50,1031,0,0
2010-10-31,50,1029,0,4
2010-11-01,43,1026,0,0
2010-11-02,43,1024,0,0
2010-11-03,48,1022,0,2
2010-11-04,49,1019,1,48
2010-11-05,48,1017,1,35
2010-11-06,46,1015,0,3
2010-11-07,44,1013,1,0
2010-11-08,42,1010,1,11
2010-11-09,48,1007,1,9
2010-11-10,51,1005,1,9
2010-11-11,49,1003,0,0
2010-11-12,54,1002,0,0
2010-11-13,55,1000,0,0
2010-11-14,54,998,0,3
2010-11-15,54,995,1,32
2010-11-16,56,993,1,59
2010-11-17,56,991,1,16
2010-11-18,50,990,0,8
2010-11-19,44,988,0,0
2010-11-20,48,986,0,1
2010-11-21,44,984,0,1
2010-11-22,55,982,1,15
2010-11-23,56,980,1,1
2010-11-24,46,979,0,1
2010-11-25,42,977,1,20
2010-11-26,46,976,1,24
2010-11-27,38,974,0,1
2010-11-28,40,973,0,0
2010-11-29,42,972,0,1
2010-11-30,50,970,1,27
2010-12-01,50,929,1,53
2010-12-02,38,927,0,1
2010-12-03,36,926,0,7
2010-12-04,36,925,0,8
2010-12-05,32,924,0,14
2010-12-06,32,923,0,18
2010-12-07,33,922,0,16
2010-12-08,30,921,0,0
2010-12-09,26,920,0,2
2010-12-10,30,919,0,17
2010-12-11,40,918,0,2
2010-12-12,48,917,1,61
2010-12-13,35,918,1,50
2010-12-14,21,917,1,27
2010-12-15,24,916,0,2
2010-12-16,26,915,0,5
2010-12-17,30,916,0,1
2010-12-18,32,915,0,2
2010-12-19,34,915,1,15
2010-12-20,31,915,1,0
2010-12-21,33,914,1,1
2010-12-22,33,915,1,11
2010-12-23,32,914,0,10
2010-12-24,34,915,0,0
2010-12-25,28,916,0,15
2010-12-26,26,915,1,31
2010-12-27,24,916,1,19
2010-12-28,31,917,0,8
2010-12-29,34,916,0,13
2010-12-30,34,917,1,0
2010-12-31,40,918,0,1
2011-01-01,46,919,1,8
2011-01-02,44,920,1,40
2011-01-03,32,921,0,0
2011-01-04,35,922,0,4
2011-01-05,34,923,0,0
2011-01-06,30,924,0,14
2011-01-07,29,924,1,36
2011-01-08,27,925,1,18
2011-01-09,29,926,0,2
2011-01-10,30,927,0,0
2011-01-11,27,929,1,22
2011-01-12,28,931,1,30
2011-01-13,24,932,0,0
2011-01-14,24,933,0,1
2011-01-15,30,935,0,15
2011-01-16,32,936,0,3
2011-01-17,23,938,0,20
2011-01-18,32,939,1,52
2011-01-19,38,941,1,29
2011-01-20,32,943,0,11
2011-01-21,25,985,1,25
2011-01-22,18,986,0,0
2011-01-23,18,988,0,0
2011-01-24,15,990,0,6
2011-01-25,30,993,1,35
2011-01-26,32,994,1,47
2011-01-27,32,996,1,14
2011-01-28,31,998,1,37
2011-01-29,32,1001,1,23
2011-01-30,33,1003,1,5
2011-01-31,26,1005,1,5
2011-02-01,28,1007,1,62
2011-02-02,32,1009,1,60
2011-02-03,29,1012,0,6
2011-02-04,28,1014,0,0
2011-02-05,37,1016,1,49
2011-02-06,41,1018,0,3
2011-02-07,40,1021,1,19
2011-02-08,30,1063,1,26
2011-02-09,22,1065,0,7
2011-02-10,26,1067,0,3
2011-02-11,28,1071,0,0
2011-02-12,35,1073,0,13
2011-02-13,37,1075,0,5
2011-02-14,48,1077,0,5
2011-02-15,31,1080,0,2
2011-02-16,37,1083,0,7
2011-02-17,54,1085,0,13
2011-02-18,56,1088,0,0
2011-02-19,38,1090,0,11
2011-02-20,30,1092,0,4
2011-02-21,30,1096,1,39
2011-02-22,26,1098,0,6
2011-02-23,30,1101,0,0
2011-02-24,37,1103,1,15
2011-02-25,46,1106,1,54
2011-02-26,37,1108,0,8
2011-02-27,44,1112,0,9
2011-02-28,50,1114,1,25
2011-03-01,40,1117,0,0
2011-03-02,39,1119,0,2
2011-03-03,26,1122,0,0
2011-03-04,34,1124,0,8
2011-03-05,51,1127,0,27
2011-03-06,52,1130,1,63
2011-03-07,44,1133,1,23
2011-03-08,38,1136,0,0
2011-03-09,40,1138,1,8
2011-03-10,46,1141,1,45
2011-03-11,48,1143,1,39
2011-03-12,47,1146,0,9
2011-03-13,47,1189,0,13
2011-03-14,41,1191,0,13
2011-03-15,40,1194,0,9
2011-03-16,48,1197,1,35
2011-03-17,54,1200,0,1
2011-03-18,64,1203,0,1
2011-03-19,48,1206,0,3
2011-03-20,42,1208,0,0
2011-03-21,40,1251,1,42
2011-03-22,45,1254,1,13
2011-03-23,36,1256,1,66
2011-03-24,37,1259,1,22
2011-03-25,35,1262,0,0
2011-03-26,33,1264,0,0
2011-03-27,36,1267,0,0
2011-03-28,36,1269,0,0
2011-03-29,40,1272,0,0
2011-03-30,44,1275,1,7
2011-03-31,40,1277,1,42
2011-04-01,40,1280,1,41
2011-04-02,46,1283,0,2
2011-04-03,50,1286,1,3
2011-04-04,53,1289,1,12
2011-04-05,54,1292,1,21
2011-04-06,46,1294,1,10
2011-04-07,47,1297,1,27
2011-04-08,46,1299,1,12
2011-04-09,49,1302,1,1
2011-04-10,51,1305,0,24
2011-04-11,66,1307,1,18
2011-04-12,58,1310,1,33
2011-04-13,46,1312,1,53
2011-04-14,58,1315,0,5
2011-04-15,48,1317,0,9
2011-04-16,48,1320,1,49
2011-04-17,56,1323,1,15
2011-04-18,55,1325,0,5
2011-04-19,50,1328,1,13
2011-04-20,55,1330,1,23
2011-04-21,53,1333,0,0
2011-04-22,46,1335,0,8
2011-04-23,52,1338,1,39
2011-04-24,67,1341,1,27
2011-04-25,66,1343,1,41
2011-04-26,68,1346,1,11
2011-04-27,68,1348,0,9
2011-04-28,66,1390,1,30
2011-04-29,62,1393,0,8
2011-04-30,58,1395,0,11
2011-05-01,60,1397,0,0
2011-05-02,56,1400,0,15
2011-05-03,65,1402,0,6
2011-05-04,55,1404,1,48
2011-05-05,56,1406,0,6
2011-05-06,61,1408,0,0
2011-05-07,64,1411,0,4
2011-05-08,63,1413,0,10
2011-05-09,62,1455,0,4
2011-05-10,64,1457,0,0
2011-05-11,62,1459,0,5
2011-05-12,63,1461,0,3
2011-05-13,60,1463,0,18
2011-05-14,60,1465,0,32
2011-05-15,64,1467,1,50
2011-05-16,58,1469,1,51
2011-05-17,56,1471,1,40
2011-05-18,60,1473,1,73
2011-05-19,68,1475,1,30
2011-05-20,60,1477,1,26
2011-05-21,66,1478,1,6
2011-05-22,56,1480,1,33
2011-05-23,61,1482,1,34
2011-05-24,74,1483,1,20
2011-05-25,74,1484,0,0
2011-05-26,71,1486,1,4
2011-05-27,74,1488,1,0
2011-05-28,76,1489,0,0
2011-05-29,74,1491,1,4
2011-05-30,78,1491,1,8
